Country/Region,Region,Year,CO2 Emissions,Energy Usage,GDP,Internet Usage,Mobile Phone Usage,Tourism Inbound,Tourism Outbound
Fiji,Oceania,12/1/2001,1115,,$2B,2%,10%,$0B,$0B
French Polynesia,Oceania,12/1/2001,737,,,6%,28%,,
Guam,Oceania,12/1/2001,,,,25%,21%,,
Kiribati,Oceania,12/1/2001,26,,$0B,2%,1%,$0B,
Marshall Islands,Oceania,12/1/2001,81,,$0B,2%,1%,$0B,$0B
"Micronesia, Fed. Sts.",Oceania,12/1/2001,176,,$0B,5%,,$0B,$0B
New Caledonia,Oceania,12/1/2001,1907,,,18%,32%,$0B,
New Zealand,Oceania,12/1/2001,34510,17120,$53B,53%,59%,$2B,$1B
Papua New Guinea,Oceania,12/1/2001,3231,,$3B,1%,0%,$0B,$0B
Samoa,Oceania,12/1/2001,143,,$0B,2%,1%,$0B,
Solomon Islands,Oceania,12/1/2001,172,,$0B,1%,0%,$0B,$0B
Tonga,Oceania,12/1/2001,143,,$0B,3%,0%,$0B,$0B
Vanuatu,Oceania,12/1/2001,88,,$0B,3%,0%,$0B,$0B
Antigua and Barbuda,The Americas,12/1/2001,345,,$1B,9%,32%,$0B,$0B
Argentina,The Americas,12/1/2001,132632,57835,$325B,10%,18%,$3B,$5B
Aruba,The Americas,12/1/2001,2237,,$2B,17%,57%,$1B,$0B
"Bahamas, The",The Americas,12/1/2001,1569,,$7B,12%,20%,$2B,$0B
Barbados,The Americas,12/1/2001,1221,,$3B,12%,20%,$1B,$0B
Belize,The Americas,12/1/2001,711,,$1B,,16%,$0B,$0B
Bermuda,The Americas,12/1/2001,495,,$4B,48%,21%,$0B,
Bolivia,The Americas,12/1/2001,9824,2903,$8B,2%,9%,$0B,$0B
Brazil,The Americas,12/1/2001,337434,190712,$554B,5%,16%,$2B,$4B
Canada,The Americas,12/1/2001,525690,247878,$733B,60%,34%,$13B,$15B
Cayman Islands,The Americas,12/1/2001,455,,,,39%,$1B,
Chile,The Americas,12/1/2001,52757,24697,$72B,19%,33%,$1B,$1B
Colombia,The Americas,12/1/2001,56274,25708,$98B,3%,8%,$1B,$2B
Costa Rica,The Americas,12/1/2001,5761,2889,$16B,10%,8%,$1B,$0B
Cuba,The Americas,12/1/2001,25453,12588,$32B,1%,0%,$2B,
Curacao,The Americas,12/1/2001,,,,,,$0B,
Dominica,The Americas,12/1/2001,114,,$0B,13%,11%,$0B,$0B
Dominican Republic,The Americas,12/1/2001,20235,7291,$25B,4%,14%,$3B,$0B
Ecuador,The Americas,12/1/2001,23447,8442,$24B,3%,7%,$0B,$0B
El Salvador,The Americas,12/1/2001,5948,4151,$14B,2%,14%,$0B,$0B
Greenland,The Americas,12/1/2001,539,,$1B,36%,28%,,
Grenada,The Americas,12/1/2001,194,,$1B,5%,6%,$0B,$0B
Guatemala,The Americas,12/1/2001,10627,7188,$19B,2%,10%,$1B,$0B
Guyana,The Americas,12/1/2001,1595,,$1B,13%,10%,$0B,$0B
Haiti,The Americas,12/1/2001,1569,2054,$4B,0%,1%,$0B,$0B
Honduras,The Americas,12/1/2001,5713,3224,$8B,1%,4%,$0B,$0B
Jamaica,The Americas,12/1/2001,10627,3841,$9B,4%,23%,$1B,$0B
Mexico,The Americas,12/1/2001,394800,146302,$725B,7%,21%,$9B,$7B
Nicaragua,The Americas,12/1/2001,3964,2544,$5B,1%,3%,$0B,$0B
Panama,The Americas,12/1/2001,7008,2816,$12B,7%,15%,$1B,$0B
Paraguay,The Americas,12/1/2001,3821,3919,$8B,1%,21%,$0B,$0B
Peru,The Americas,12/1/2001,27165,11795,$51B,8%,7%,$1B,$1B
Puerto Rico,The Americas,12/1/2001,,,$70B,16%,43%,$3B,$1B
Sint Maarten (Dutch part),The Americas,12/1/2001,,,,,,$0B,$0B
St. Kitts and Nevis,The Americas,12/1/2001,183,,$0B,8%,5%,$0B,$0B
St. Lucia,The Americas,12/1/2001,363,,$1B,8%,2%,$0B,$0B
St. Martin (French part),The Americas,12/1/2001,,,,,,,
St. Vincent and the Grenadines,The Americas,12/1/2001,180,,$0B,5%,7%,$0B,$0B
Suriname,The Americas,12/1/2001,2266,,$1B,3%,18%,$0B,$0B
Trinidad and Tobago,The Americas,12/1/2001,25024,11762,$9B,15%,20%,$0B,$0B
Turks and Caicos Islands,The Americas,12/1/2001,15,,,,,$0B,
United States,The Americas,12/1/2001,5601405,2230817,"$10,600B",49%,45%,$109B,$86B
Uruguay,The Americas,12/1/2001,5090,2712,$21B,11%,16%,$1B,$0B
Venezuela,The Americas,12/1/2001,172525,57871,$123B,5%,26%,$1B,$2B
Algeria,Africa,12/1/2002,90854,28773,$57B,2%,1%,$0B,$0B
Angola,Africa,12/1/2002,12666,8304,$12B,0%,1%,$0B,$0B
Benin,Africa,12/1/2002,2054,2262,$3B,1%,3%,$0B,$0B
Botswana,Africa,12/1/2002,4485,1916,$5B,3%,18%,$0B,$0B
Burkina Faso,Africa,12/1/2002,1005,,$3B,0%,1%,$0B,$0B
Burundi,Africa,12/1/2002,220,,$1B,0%,1%,$0B,$0B
Cameroon,Africa,12/1/2002,3418,6518,$11B,0%,4%,$0B,$0B
Central African Republic,Africa,12/1/2002,246,,$1B,0%,0%,$0B,$0B
Chad,Africa,12/1/2002,169,,$2B,0%,0%,$0B,$0B
Comoros,Africa,12/1/2002,92,,$0B,1%,,$0B,
Congo (Kinshasa),Africa,12/1/2002,1544,17841,$9B,0%,1%,,
Congo (Brazzaville),Africa,12/1/2002,708,869,$3B,0%,7%,$0B,$0B
Cote d'Ivoire,Africa,12/1/2002,7286,6946,$11B,1%,6%,$0B,$0B
Djibouti,Africa,12/1/2002,400,,$1B,1%,2%,$0B,$0B
Egypt,Africa,12/1/2002,127194,47162,$88B,3%,7%,$4B,$1B
Equatorial Guinea,Africa,12/1/2002,4980,,$2B,0%,6%,,
Eritrea,Africa,12/1/2002,605,748,$1B,0%,,$0B,
Ethiopia,Africa,12/1/2002,4481,26867,$8B,0%,0%,$0B,$0B
Gabon,Africa,12/1/2002,1778,1583,$5B,2%,22%,$0B,$0B
"Gambia, The",Africa,12/1/2002,315,,$1B,2%,8%,,
Ghana,Africa,12/1/2002,7437,8264,$6B,1%,2%,$0B,$0B
Guinea,Africa,12/1/2002,1324,,$3B,0%,1%,,$0B
Guinea-Bissau,Africa,12/1/2002,154,,$0B,1%,,$0B,$0B
Kenya,Africa,12/1/2002,7968,14454,$13B,1%,4%,$1B,$0B
Lesotho,Africa,12/1/2002,,,$1B,1%,7%,$0B,$0B
Liberia,Africa,12/1/2002,502,,$1B,0%,0%,,
Libya,Africa,12/1/2002,47832,16951,$20B,2%,1%,$0B,$1B
Madagascar,Africa,12/1/2002,1236,,$4B,0%,1%,$0B,$0B
Malawi,Africa,12/1/2002,884,,$3B,0%,1%,$0B,$0B
Mali,Africa,12/1/2002,554,,$3B,0%,0%,$0B,$0B
Mauritania,Africa,12/1/2002,1434,,$1B,0%,9%,,
Mauritius,Africa,12/1/2002,2981,,$5B,10%,29%,$1B,$0B
Morocco,Africa,12/1/2002,38254,11079,$40B,2%,21%,$3B,$1B
Mozambique,Africa,12/1/2002,1588,7645,$4B,0%,1%,$0B,$0B
Namibia,Africa,12/1/2002,1760,1010,$3B,3%,8%,$0B,$0B
Niger,Africa,12/1/2002,814,,$2B,0%,1%,$0B,$0B
Nigeria,Africa,12/1/2002,98125,97389,$59B,0%,1%,$0B,$1B
Rwanda,Africa,12/1/2002,689,,$2B,0%,1%,$0B,$0B
Sao Tome and Principe,Africa,12/1/2002,59,,$0B,8%,1%,$0B,$0B
Senegal,Africa,12/1/2002,4547,2632,$5B,1%,5%,$0B,$0B
Seychelles,Africa,12/1/2002,543,,$1B,14%,54%,$0B,$0B
Sierra Leone,Africa,12/1/2002,609,,$1B,0%,2%,$0B,$0B
Somalia,Africa,12/1/2002,572,,,0%,1%,,
South Africa,Africa,12/1/2002,347687,109908,$111B,7%,30%,$4B,$2B
South Sudan,Africa,12/1/2002,,,,,,,
Sudan,Africa,12/1/2002,8119,15205,$15B,0%,1%,$0B,$0B
Swaziland,Africa,12/1/2002,1126,,$1B,2%,6%,$0B,$0B
Tanzania,Africa,12/1/2002,3590,14916,$11B,0%,2%,$1B,$0B
Togo,Africa,12/1/2002,1232,2182,$1B,1%,3%,$0B,$0B
Tunisia,Africa,12/1/2002,21016,7814,$23B,5%,6%,$2B,$0B
Uganda,Africa,12/1/2002,1668,,$6B,0%,2%,$0B,
Zambia,Africa,12/1/2002,1969,6633,$4B,1%,1%,$0B,$0B
Zimbabwe,Africa,12/1/2002,11932,9692,$6B,4%,3%,$0B,
Afghanistan,Asia,12/1/2002,359,,$4B,0%,0%,,
Armenia,Asia,12/1/2002,3044,1876,$2B,2%,2%,$0B,$0B
Azerbaijan,Asia,12/1/2002,29615,11559,$6B,5%,10%,$0B,$0B
Bangladesh,Asia,12/1/2002,33707,20756,$48B,0%,1%,$0B,$0B
Bhutan,Asia,12/1/2002,418,,$1B,2%,,$0B,
Brunei,Asia,12/1/2002,5321,2157,$6B,15%,44%,$0B,$0B
Cambodia,Asia,12/1/2002,2208,3994,$4B,0%,3%,$1B,$0B
China,Asia,12/1/2002,3694242,1253831,"$1,450B",5%,16%,$22B,$17B
Georgia,Asia,12/1/2002,3388,2544,$3B,2%,11%,$0B,$0B
Hong Kong SAR,Asia,12/1/2002,36952,13195,$166B,43%,93%,$10B,$12B
India,Asia,12/1/2002,1226791,477540,$524B,2%,1%,$3B,$4B
Indonesia,Asia,12/1/2002,306737,164879,$196B,2%,5%,$6B,$5B
Japan,Asia,12/1/2002,1216751,510390,"$3,980B",47%,64%,$6B,$35B
Kazakhstan,Asia,12/1/2002,151946,39679,$25B,2%,7%,$1B,$1B
North Korea,Asia,12/1/2002,76109,19566,,,,,
South Korea,Asia,12/1/2002,465632,198667,$609B,59%,70%,$8B,$11B
Kyrgyzstan,Asia,12/1/2002,4848,2422,$2B,3%,1%,$0B,$0B
Laos,Asia,12/1/2002,1177,,$2B,0%,1%,$0B,$0B
Macao SAR,Asia,12/1/2002,1525,,$7B,25%,62%,$4B,$1B
Malaysia,Asia,12/1/2002,135129,51009,$101B,32%,37%,$8B,$3B
Maldives,Asia,12/1/2002,689,,$1B,5%,15%,$0B,$0B
Mongolia,Asia,12/1/2002,8287,2586,$1B,2%,9%,$0B,$0B
Myanmar,Asia,12/1/2002,9208,12968,,0%,0%,$0B,$0B
Nepal,Asia,12/1/2002,2710,8467,$6B,0%,0%,$0B,$0B
Pakistan,Asia,12/1/2002,114084,65775,$72B,3%,1%,$1B,$0B
Philippines,Asia,12/1/2002,71338,38767,$81B,4%,19%,$2B,$2B
Singapore,Asia,12/1/2002,47231,21005,$92B,47%,80%,$4B,$8B
Sri Lanka,Asia,12/1/2002,11008,8199,$17B,1%,5%,$1B,$0B
Tajikistan,Asia,12/1/2002,1881,2129,$1B,0%,0%,$0B,$0B
Thailand,Asia,12/1/2002,215975,82257,$127B,8%,27%,$10B,$4B
Timor-Leste,Asia,12/1/2002,161,,$0B,,,,
Turkmenistan,Asia,12/1/2002,40245,15811,$4B,0%,0%,,
Uzbekistan,Asia,12/1/2002,126915,53188,$10B,1%,1%,$0B,
Vietnam,Asia,12/1/2002,70806,33441,$38B,2%,2%,,
Albania,Europe,12/1/2002,3751,1975,$4B,0%,26%,$0B,$0B
Andorra,Europe,12/1/2002,532,,$1B,11%,46%,,
Austria,Europe,12/1/2002,67179,30447,$208B,37%,83%,$12B,$8B
Belarus,Europe,12/1/2002,52390,25262,$15B,9%,5%,$0B,$1B
Belgium,Europe,12/1/2002,107531,56375,$253B,46%,78%,$8B,$11B
Bosnia and Herzegovina,Europe,12/1/2002,22919,4407,$7B,3%,19%,$0B,$0B
Bulgaria,Europe,12/1/2002,44635,18861,$16B,9%,33%,$1B,$1B
Croatia,Europe,12/1/2002,21877,8245,$27B,18%,52%,$4B,$1B
Cyprus,Europe,12/1/2002,7022,2143,$11B,28%,43%,$2B,$1B
Czech Republic,Europe,12/1/2002,120193,42535,$78B,24%,84%,$3B,$2B
Denmark,Europe,12/1/2002,49266,19004,$174B,64%,83%,$5B,$6B
Estonia,Europe,12/1/2002,14936,4713,$7B,42%,65%,$1B,$0B
Faeroe Islands,Europe,12/1/2002,763,,$1B,53%,73%,,
Finland,Europe,12/1/2002,61078,34819,$135B,62%,87%,$2B,$2B
France,Europe,12/1/2002,380840,261182,"$1,450B",30%,64%,$41B,$28B
Germany,Europe,12/1/2002,828771,338553,"$2,010B",49%,71%,$27B,$59B
Greece,Europe,12/1/2002,93670,28321,$146B,15%,85%,$10B,$2B
Hungary,Europe,12/1/2002,56094,25601,$66B,17%,68%,$4B,$2B
Iceland,Europe,12/1/2002,2171,3285,$9B,79%,91%,$0B,$0B
Ireland,Europe,12/1/2002,43762,14673,$123B,26%,76%,$4B,$4B
Isle of Man,Europe,12/1/2002,,,$2B,,,,
Italy,Europe,12/1/2002,452632,172396,"$1,230B",28%,94%,$28B,$20B
Kosovo,Europe,12/1/2002,,1894,$3B,,,,
Latvia,Europe,12/1/2002,6652,4073,$9B,22%,40%,$0B,$0B
Liechtenstein,Europe,12/1/2002,,,$3B,60%,34%,,
Lithuania,Europe,12/1/2002,13212,8865,$14B,18%,48%,$1B,$0B
Luxembourg,Europe,12/1/2002,9417,3646,$23B,40%,107%,$3B,$2B
North Macedonia,Europe,12/1/2002,10935,2527,$4B,17%,18%,$0B,$0B
Malta,Europe,12/1/2002,2299,734,$4B,29%,67%,$1B,$0B
Moldova,Europe,12/1/2002,3986,3096,$2B,4%,9%,$0B,$0B
Monaco,Europe,12/1/2002,,,$3B,48%,46%,,
Montenegro,Europe,12/1/2002,,,$1B,,,,
Netherlands,Europe,12/1/2002,172364,75706,$438B,61%,75%,$12B,$14B
Norway,Europe,12/1/2002,37429,24912,$192B,73%,84%,$3B,$6B
Poland,Europe,12/1/2002,296932,88855,$198B,21%,36%,$5B,$3B
Portugal,Europe,12/1/2002,66820,25824,$132B,19%,83%,$7B,$3B
Romania,Europe,12/1/2002,92174,38140,$46B,7%,23%,$0B,$0B
Russia,Europe,12/1/2002,1557665,623098,$345B,4%,12%,$5B,$11B
San Marino,Europe,12/1/2002,,,$1B,51%,60%,,
Serbia,Europe,12/1/2002,,15891,$15B,,,$0B,$0B
Slovakia,Europe,12/1/2002,39252,18733,$35B,40%,54%,$1B,$1B
Slovenia,Europe,12/1/2002,15420,6830,$23B,28%,84%,$1B,$1B
Spain,Europe,12/1/2002,314519,128757,$686B,20%,81%,$35B,$9B
Sweden,Europe,12/1/2002,57425,51784,$251B,71%,89%,$6B,$8B
Switzerland,Europe,12/1/2002,40718,25888,$287B,61%,79%,$9B,$7B
Turkey,Europe,12/1/2002,205678,74248,$233B,11%,36%,$12B,$2B
Ukraine,Europe,12/1/2002,318684,135601,$42B,2%,8%,$1B,$1B
United Kingdom,Europe,12/1/2002,531939,218306,"$1,620B",57%,83%,$28B,$51B
Bahrain,Middle East,12/1/2002,15698,6433,$10B,18%,53%,$1B,$1B
Iran,Middle East,12/1/2002,402178,138011,$116B,5%,3%,$2B,$4B
Iraq,Middle East,12/1/2002,87260,27981,,1%,0%,$0B,$0B
Israel,Middle East,12/1/2002,63146,18809,$113B,18%,101%,$2B,$3B
Jordan,Middle East,12/1/2002,16887,5060,$10B,6%,25%,$1B,$1B
Kuwait,Middle East,12/1/2002,52753,20639,$38B,10%,60%,$0B,$3B
Lebanon,Middle East,12/1/2002,16039,5220,$19B,7%,22%,$4B,$3B
Oman,Middle East,12/1/2002,25471,8818,$20B,7%,20%,$1B,$1B
Qatar,Middle East,12/1/2002,28482,13711,$19B,10%,42%,$0B,$0B
Saudi Arabia,Middle East,12/1/2002,326407,116953,$189B,6%,23%,,$7B
Syria,Middle East,12/1/2002,39068,16735,$22B,2%,2%,$1B,$1B
United Arab Emirates,Middle East,12/1/2002,84704,40578,$110B,28%,75%,$1B,$4B
Yemen,Middle East,12/1/2002,15764,5100,$11B,1%,3%,$0B,$0B
American Samoa,Oceania,12/1/2002,,,,,4%,,
Australia,Oceania,12/1/2002,341002,109461,$394B,,64%,$14B,$8B
Fiji,Oceania,12/1/2002,836,,$2B,6%,11%,$0B,$0B
French Polynesia,Oceania,12/1/2002,737,,,8%,21%,$0B,$0B
Guam,Oceania,12/1/2002,,,,31%,45%,,
Kiribati,Oceania,12/1/2002,40,,$0B,3%,1%,,
Marshall Islands,Oceania,12/1/2002,84,,$0B,2%,1%,$0B,$0B
"Micronesia, Fed. Sts.",Oceania,12/1/2002,147,,$0B,6%,0%,$0B,$0B
New Caledonia,Oceania,12/1/2002,2428,,,22%,37%,$0B,$0B
New Zealand,Oceania,12/1/2002,33201,17119,$66B,59%,62%,$3B,$1B
Papua New Guinea,Oceania,12/1/2002,3513,,$3B,1%,0%,$0B,$0B
Samoa,Oceania,12/1/2002,143,,$0B,2%,2%,$0B,
Solomon Islands,Oceania,12/1/2002,172,,$0B,1%,0%,$0B,$0B
Tonga,Oceania,12/1/2002,147,,$0B,3%,3%,$0B,$0B
Vanuatu,Oceania,12/1/2002,84,,$0B,4%,3%,$0B,$0B
Antigua and Barbuda,The Americas,12/1/2002,363,,$1B,13%,48%,$0B,$0B
Argentina,The Americas,12/1/2002,123266,55386,$124B,11%,18%,$2B,$3B
Aruba,The Americas,12/1/2002,2255,,$2B,19%,65%,$1B,$0B
"Bahamas, The",The Americas,12/1/2002,1577,,$7B,18%,39%,$2B,$0B
Barbados,The Americas,12/1/2002,1228,,$3B,28%,36%,$1B,$0B
Belize,The Americas,12/1/2002,359,,$1B,6%,21%,$0B,$0B
Bermuda,The Americas,12/1/2002,524,,$4B,52%,47%,$0B,$0B
Bolivia,The Americas,12/1/2002,9567,3527,$8B,3%,12%,$0B,$0B
Brazil,The Americas,12/1/2002,332267,195759,$504B,9%,19%,$2B,$3B
Canada,The Americas,12/1/2002,519163,248220,$753B,62%,38%,$13B,$14B
Cayman Islands,The Americas,12/1/2002,469,,,,43%,$1B,
Chile,The Americas,12/1/2002,55361,25568,$71B,22%,40%,$1B,$1B
Colombia,The Americas,12/1/2002,55661,25205,$98B,5%,11%,$1B,$1B
Costa Rica,The Americas,12/1/2002,6326,3073,$17B,20%,12%,$1B,$0B
Cuba,The Americas,12/1/2002,26091,11729,$34B,4%,0%,$2B,
Curacao,The Americas,12/1/2002,,,,,,$0B,$0B
Dominica,The Americas,12/1/2002,103,,$0B,18%,17%,$0B,$0B
Dominican Republic,The Americas,12/1/2002,21500,7476,$27B,7%,19%,$3B,$0B
Ecuador,The Americas,12/1/2002,24690,9177,$29B,4%,12%,$0B,$1B
El Salvador,The Americas,12/1/2002,6040,4232,$14B,2%,15%,$1B,$0B
Greenland,The Americas,12/1/2002,539,,$1B,44%,35%,,
Grenada,The Americas,12/1/2002,205,,$1B,15%,7%,$0B,$0B
Guatemala,The Americas,12/1/2002,11096,7248,$21B,3%,13%,$1B,$0B
Guyana,The Americas,12/1/2002,1580,,$1B,,11%,$0B,$0B
Haiti,The Americas,12/1/2002,1826,2309,$3B,1%,2%,$0B,$0B
Honduras,The Americas,12/1/2002,6091,3380,$8B,3%,5%,$0B,$0B
Jamaica,The Americas,12/1/2002,10301,3586,$10B,6%,47%,$1B,$0B
Mexico,The Americas,12/1/2002,391251,150843,$742B,12%,24%,$10B,$7B
Nicaragua,The Americas,12/1/2002,4037,2636,$5B,2%,5%,$0B,$0B
Panama,The Americas,12/1/2002,5871,2625,$12B,9%,17%,$1B,$0B
Paraguay,The Americas,12/1/2002,3898,3885,$6B,2%,30%,$0B,$0B
Peru,The Americas,12/1/2002,27187,11873,$54B,9%,9%,$1B,$1B
Puerto Rico,The Americas,12/1/2002,,,$73B,18%,43%,$2B,$1B
Sint Maarten (Dutch part),The Americas,12/1/2002,,,,,,$0B,$0B
St. Kitts and Nevis,The Americas,12/1/2002,198,,$0B,21%,11%,$0B,$0B
St. Lucia,The Americas,12/1/2002,326,,$1B,15%,9%,$0B,$0B
St. Martin (French part),The Americas,12/1/2002,,,,,,,
St. Vincent and the Grenadines,The Americas,12/1/2002,187,,$0B,6%,9%,$0B,$0B
Suriname,The Americas,12/1/2002,2252,,$1B,4%,23%,$0B,$0B
Trinidad and Tobago,The Americas,12/1/2002,26890,12540,$9B,22%,21%,$0B,$0B
Turks and Caicos Islands,The Americas,12/1/2002,99,,,,,$0B,
United States,The Americas,12/1/2002,5650950,2255957,"$11,000B",59%,49%,$104B,$82B
Uruguay,The Americas,12/1/2002,4620,2538,$14B,11%,15%,$0B,$0B
Venezuela,The Americas,12/1/2002,193262,57515,$93B,5%,26%,$0B,$2B
Algeria,Africa,12/1/2003,92533,30698,$68B,2%,4%,$0B,$0B
Angola,Africa,12/1/2003,9065,9004,$14B,0%,2%,$0B,$0B
Benin,Africa,12/1/2003,2321,2386,$4B,1%,3%,$0B,$0B
Botswana,Africa,12/1/2003,4265,1907,$8B,3%,24%,$0B,$0B
Burkina Faso,Africa,12/1/2003,1078,,$4B,0%,2%,$0B,$0B
Burundi,Africa,12/1/2003,165,,$1B,0%,1%,$0B,$0B
Cameroon,Africa,12/1/2003,3795,6766,$14B,1%,6%,$0B,$0B
Central African Republic,Africa,12/1/2003,235,,$1B,0%,1%,$0B,$0B
Chad,Africa,12/1/2003,381,,$3B,0%,1%,,
Comoros,Africa,12/1/2003,99,,$0B,1%,0%,$0B,$0B
Congo (Kinshasa),Africa,12/1/2003,1698,18503,$9B,0%,2%,,
Congo (Brazzaville),Africa,12/1/2003,1085,999,$3B,1%,10%,$0B,$0B
Cote d'Ivoire,Africa,12/1/2003,5460,6578,$14B,1%,8%,$0B,$1B
Djibouti,Africa,12/1/2003,407,,$1B,1%,3%,$0B,$0B
Egypt,Africa,12/1/2003,147963,48971,$83B,4%,8%,$5B,$1B
Equatorial Guinea,Africa,12/1/2003,6018,,$2B,1%,7%,,
Eritrea,Africa,12/1/2003,726,804,$1B,,,$0B,
Ethiopia,Africa,12/1/2003,4947,27648,$8B,0%,0%,$0B,$0B
Gabon,Africa,12/1/2003,1335,1593,$6B,3%,23%,$0B,$0B
"Gambia, The",Africa,12/1/2003,315,,$0B,2%,11%,$0B,$0B
Ghana,Africa,12/1/2003,7631,8226,$8B,1%,4%,$0B,$0B
Guinea,Africa,12/1/2003,1342,,$3B,1%,1%,,$0B
Guinea-Bissau,Africa,12/1/2003,194,,$0B,1%,0%,$0B,$0B
Kenya,Africa,12/1/2003,6755,14769,$15B,3%,5%,$1B,$0B
Lesotho,Africa,12/1/2003,,,$1B,2%,7%,$0B,$0B
Liberia,Africa,12/1/2003,532,,$0B,0%,2%,,
Libya,Africa,12/1/2003,49167,17441,$24B,3%,2%,$0B,$1B
Madagascar,Africa,12/1/2003,1701,,$5B,0%,2%,$0B,$0B
Malawi,Africa,12/1/2003,957,,$2B,0%,1%,$0B,$0B
Mali,Africa,12/1/2003,539,,$4B,0%,2%,$0B,$0B
Mauritania,Africa,12/1/2003,1474,,$2B,0%,12%,,
Mauritius,Africa,12/1/2003,3146,,$6B,12%,38%,$1B,$0B
Morocco,Africa,12/1/2003,37561,11018,$50B,3%,25%,$4B,$1B
Mozambique,Africa,12/1/2003,1918,8063,$5B,0%,2%,$0B,$0B
Namibia,Africa,12/1/2003,1874,1076,$5B,3%,11%,$0B,$0B
Niger,Africa,12/1/2003,880,,$3B,0%,1%,$0B,$0B
Nigeria,Africa,12/1/2003,93138,99007,$68B,1%,2%,$0B,$2B
Rwanda,Africa,12/1/2003,682,,$2B,0%,1%,$0B,$0B
Sao Tome and Principe,Africa,12/1/2003,66,,$0B,10%,3%,$0B,$0B
Senegal,Africa,12/1/2003,5013,2556,$7B,2%,7%,$0B,$0B
Seychelles,Africa,12/1/2003,557,,$1B,15%,59%,$0B,$0B
Sierra Leone,Africa,12/1/2003,653,,$1B,0%,2%,$0B,$0B
Somalia,Africa,12/1/2003,576,,,0%,3%,,
South Africa,Africa,12/1/2003,380811,117374,$168B,7%,36%,$7B,$4B
South Sudan,Africa,12/1/2003,,,,,,,
Sudan,Africa,12/1/2003,9072,14725,$18B,1%,1%,$0B,$0B
Swaziland,Africa,12/1/2003,1041,,$2B,2%,8%,$0B,$0B
Tanzania,Africa,12/1/2003,3806,15491,$12B,1%,4%,$1B,$0B
Togo,Africa,12/1/2003,1463,2303,$2B,1%,5%,$0B,$0B
Tunisia,Africa,12/1/2003,21397,8028,$27B,7%,20%,$2B,$0B
Uganda,Africa,12/1/2003,1709,,$6B,1%,3%,$0B,
Zambia,Africa,12/1/2003,2101,6828,$4B,1%,2%,$0B,$0B
Zimbabwe,Africa,12/1/2003,10627,9500,$6B,6%,3%,$0B,
Afghanistan,Asia,12/1/2003,583,,$5B,0%,1%,,
Armenia,Asia,12/1/2003,3429,1981,$3B,5%,4%,$0B,$0B
Azerbaijan,Asia,12/1/2003,30616,12158,$7B,,13%,$0B,$0B
Bangladesh,Asia,12/1/2003,33883,21713,$52B,0%,1%,$0B,$0B
Bhutan,Asia,12/1/2003,378,,$1B,2%,0%,$0B,
Brunei,Asia,12/1/2003,5357,2505,$7B,20%,50%,$0B,$0B
Cambodia,Asia,12/1/2003,2380,4115,$5B,0%,4%,$0B,$0B
China,Asia,12/1/2003,4525177,1427554,"$1,640B",6%,21%,$19B,$17B
Georgia,Asia,12/1/2003,3773,2705,$4B,3%,16%,$0B,$0B
Hong Kong SAR,Asia,12/1/2003,40066,13608,$161B,52%,106%,$9B,$11B
India,Asia,12/1/2003,1281914,489507,$618B,2%,3%,$5B,$4B
Indonesia,Asia,12/1/2003,316792,165366,$235B,2%,9%,$4B,$4B
Japan,Asia,12/1/2003,1237429,506237,"$4,300B",48%,69%,$11B,$37B
Kazakhstan,Asia,12/1/2003,153816,43041,$31B,2%,9%,$1B,$1B
North Korea,Asia,12/1/2003,77777,20027,,,,,
South Korea,Asia,12/1/2003,466215,202717,$681B,66%,72%,$7B,$11B
Kyrgyzstan,Asia,12/1/2003,5328,2584,$2B,4%,3%,$0B,$0B
Laos,Asia,12/1/2003,1129,,$2B,0%,2%,$0B,$0B
Macao SAR,Asia,12/1/2003,1536,,$8B,26%,81%,$5B,$0B
Malaysia,Asia,12/1/2003,160266,54619,$110B,35%,45%,$7B,$3B
Maldives,Asia,12/1/2003,598,,$1B,6%,23%,$0B,$0B
Mongolia,Asia,12/1/2003,8034,2525,$2B,,13%,$0B,$0B
Myanmar,Asia,12/1/2003,9846,14064,,0%,0%,$0B,$0B
Nepal,Asia,12/1/2003,2952,8707,$6B,0%,0%,$0B,$0B
Pakistan,Asia,12/1/2003,118895,68695,$83B,5%,2%,$1B,$1B
Philippines,Asia,12/1/2003,71532,38822,$84B,5%,27%,$2B,$2B
Singapore,Asia,12/1/2003,31133,25634,$97B,54%,84%,$4B,$8B
Sri Lanka,Asia,12/1/2003,10660,8682,$19B,2%,7%,$1B,$0B
Tajikistan,Asia,12/1/2003,2076,2170,$2B,0%,1%,$0B,$0B
Thailand,Asia,12/1/2003,232198,89107,$143B,9%,34%,$10B,$4B
Timor-Leste,Asia,12/1/2003,161,,$0B,,2%,,
Turkmenistan,Asia,12/1/2003,42215,17629,$6B,0%,0%,,
Uzbekistan,Asia,12/1/2003,122683,51412,$10B,2%,1%,$0B,
Vietnam,Asia,12/1/2003,78767,35111,$43B,4%,3%,$1B,
Albania,Europe,12/1/2003,4294,1976,$6B,1%,34%,$1B,$1B
Andorra,Europe,12/1/2003,535,,$2B,14%,69%,,
Austria,Europe,12/1/2003,72317,32214,$254B,43%,89%,$15B,$10B
Belarus,Europe,12/1/2003,53722,26009,$18B,,11%,$0B,$0B
Belgium,Europe,12/1/2003,114836,59242,$312B,50%,83%,$9B,$13B
