Country/Region,Region,Year,Birth Rate,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban
Latvia,Europe,12/1/2001,0.80%,0.172,0.674,0.154,2.3M,68.00%
Liechtenstein,Europe,12/1/2001,1.20%,0,0,0,0.0M,15.00%
Lithuania,Europe,12/1/2001,0.90%,0.193,0.665,0.142,3.5M,66.90%
Luxembourg,Europe,12/1/2001,1.20%,0.19,0.669,0.142,0.4M,84.80%
North Macedonia,Europe,12/1/2001,1.20%,0.219,0.679,0.103,2.1M,58.30%
Malta,Europe,12/1/2001,1.00%,0.2,0.688,0.111,0.4M,92.60%
Moldova,Europe,12/1/2001,1.20%,0.228,0.669,0.102,3.6M,45.70%
Monaco,Europe,12/1/2001,0,0,0,0,0.0M,100.00%
Montenegro,Europe,12/1/2001,1.30%,0.21,0.673,0.117,0.6M,59.60%
Netherlands,Europe,12/1/2001,1.30%,0.186,0.678,0.136,16.0M,77.80%
Norway,Europe,12/1/2001,1.30%,0.2,0.65,0.15,4.5M,76.60%
Poland,Europe,12/1/2001,1.00%,0.187,0.688,0.125,38.2M,61.80%
Portugal,Europe,12/1/2001,1.10%,0.16,0.676,0.164,10.4M,55.00%
Romania,Europe,12/1/2001,1.00%,0.181,0.683,0.137,22.1M,52.90%
Russia,Europe,12/1/2001,0.90%,0.175,0.698,0.127,146.0M,73.30%
San Marino,Europe,12/1/2001,0,0,0,0,0.0M,93.80%
Serbia,Europe,12/1/2001,1.10%,0.197,0.67,0.132,7.5M,53.50%
Slovakia,Europe,12/1/2001,1.00%,0.191,0.695,0.114,5.4M,56.20%
Slovenia,Europe,12/1/2001,0.90%,0.155,0.701,0.144,2.0M,50.80%
Spain,Europe,12/1/2001,1.00%,0.146,0.685,0.169,40.8M,76.30%
Sweden,Europe,12/1/2001,1.00%,0.183,0.645,0.172,8.9M,84.10%
Switzerland,Europe,12/1/2001,1.00%,0.173,0.673,0.154,7.2M,73.30%
Turkey,Europe,12/1/2001,2.10%,0.302,0.637,0.061,64.1M,65.30%
Ukraine,Europe,12/1/2001,0.80%,0.168,0.691,0.141,48.7M,67.20%
United Kingdom,Europe,12/1/2001,1.10%,0.188,0.654,0.158,59.1M,78.80%
Bahrain,Middle East,12/1/2001,2.10%,0.305,0.67,0.024,0.7M,88.40%
Iran,Middle East,12/1/2001,1.80%,0.328,0.629,0.043,66.9M,64.80%
Iraq,Middle East,12/1/2001,3.60%,0.426,0.539,0.035,24.5M,68.60%
Israel,Middle East,12/1/2001,2.10%,0.28,0.619,0.1,6.4M,91.30%
Jordan,Middle East,12/1/2001,3.10%,0.392,0.577,0.031,4.9M,80.10%
Kuwait,Middle East,12/1/2001,2.30%,0.257,0.711,0.033,2.0M,98.10%
Lebanon,Middle East,12/1/2001,1.80%,0.285,0.644,0.072,3.4M,86.10%
Oman,Middle East,12/1/2001,2.30%,0.369,0.607,0.024,2.2M,71.50%
Qatar,Middle East,12/1/2001,1.90%,0.263,0.72,0.017,0.6M,96.50%
Saudi Arabia,Middle East,12/1/2001,2.60%,0.376,0.589,0.035,20.9M,80.10%
Syria,Middle East,12/1/2001,3.00%,0.404,0.563,0.034,16.7M,52.30%
United Arab Emirates,Middle East,12/1/2001,1.60%,0.249,0.741,0.01,3.1M,80.70%
Yemen,Middle East,12/1/2001,3.90%,0.481,0.491,0.028,18.0M,26.80%
American Samoa,Oceania,12/1/2001,0,0,0,0,0.1M,88.50%
Australia,Oceania,12/1/2001,1.30%,0.206,0.669,0.125,19.4M,87.40%
Fiji,Oceania,12/1/2001,2.40%,0.343,0.621,0.036,0.8M,48.30%
French Polynesia,Oceania,12/1/2001,2.00%,0.31,0.645,0.044,0.2M,56.00%
Guam,Oceania,12/1/2001,2.10%,0.303,0.641,0.055,0.2M,93.20%
Kiribati,Oceania,12/1/2001,2.80%,0.394,0.572,0.034,0.1M,43.50%
Marshall Islands,Oceania,12/1/2001,0,0,0,0,0.1M,68.70%
"Micronesia, Fed. Sts.",Oceania,12/1/2001,2.90%,0.399,0.563,0.038,0.1M,22.30%
New Caledonia,Oceania,12/1/2001,2.00%,0.284,0.655,0.061,0.2M,62.20%
New Zealand,Oceania,12/1/2001,1.40%,0.225,0.657,0.118,3.9M,85.80%
Papua New Guinea,Oceania,12/1/2001,3.50%,0.402,0.573,0.025,5.5M,13.20%
Samoa,Oceania,12/1/2001,3.00%,0.406,0.549,0.045,0.2M,22.10%
Solomon Islands,Oceania,12/1/2001,3.50%,0.418,0.554,0.029,0.4M,16.20%
Tonga,Oceania,12/1/2001,2.80%,0.382,0.56,0.058,0.1M,23.00%
Vanuatu,Oceania,12/1/2001,3.20%,0.411,0.556,0.033,0.2M,22.00%
Antigua and Barbuda,The Americas,12/1/2001,2.00%,0.291,0.639,0.07,0.1M,31.70%
Argentina,The Americas,12/1/2001,1.80%,0.276,0.624,0.1,37.3M,89.30%
Aruba,The Americas,12/1/2001,1.40%,0.229,0.694,0.078,0.1M,46.30%
"Bahamas, The",The Americas,12/1/2001,1.70%,0.286,0.659,0.055,0.3M,82.10%
Barbados,The Americas,12/1/2001,1.30%,0.217,0.669,0.115,0.3M,33.70%
Belize,The Americas,12/1/2001,2.90%,0.397,0.56,0.042,0.2M,47.40%
Bermuda,The Americas,12/1/2001,1.30%,0,0,0,0.1M,100.00%
Bolivia,The Americas,12/1/2001,3.10%,0.396,0.562,0.042,8.7M,62.30%
Brazil,The Americas,12/1/2001,2.00%,0.291,0.653,0.056,177.0M,81.60%
Canada,The Americas,12/1/2001,1.10%,0.189,0.685,0.127,31.1M,79.80%
Cayman Islands,The Americas,12/1/2001,0,0,0,0,0.0M,100.00%
Chile,The Americas,12/1/2001,1.60%,0.273,0.654,0.074,15.6M,86.40%
Colombia,The Americas,12/1/2001,2.30%,0.324,0.628,0.048,40.6M,72.40%
Costa Rica,The Americas,12/1/2001,2.00%,0.308,0.637,0.055,4.0M,60.40%
Cuba,The Americas,12/1/2001,1.30%,0.213,0.687,0.101,11.2M,75.60%
Curacao,The Americas,12/1/2001,0,0.242,0.651,0.107,0.1M,91.00%
Dominica,The Americas,12/1/2001,0,0,0,0,0.1M,65.40%
Dominican Republic,The Americas,12/1/2001,2.50%,0.345,0.602,0.053,8.8M,62.60%
Ecuador,The Americas,12/1/2001,2.50%,0.342,0.606,0.052,12.8M,60.80%
El Salvador,The Americas,12/1/2001,2.40%,0.379,0.564,0.057,6.0M,59.50%
Greenland,The Americas,12/1/2001,1.70%,0,0,0,0.1M,81.80%
Grenada,The Americas,12/1/2001,1.90%,0.341,0.582,0.077,0.1M,36.10%
Guatemala,The Americas,12/1/2001,3.60%,0.439,0.52,0.041,11.5M,45.50%
Guyana,The Americas,12/1/2001,2.20%,0.356,0.601,0.044,0.7M,28.60%
Haiti,The Americas,12/1/2001,3.10%,0.398,0.561,0.04,8.7M,37.30%
Honduras,The Americas,12/1/2001,3.10%,0.419,0.541,0.04,6.4M,46.00%
Jamaica,The Americas,12/1/2001,1.90%,0.324,0.601,0.075,2.6M,52.10%
Mexico,The Americas,12/1/2001,2.40%,0.337,0.613,0.05,105.3M,75.00%
Nicaragua,The Americas,12/1/2001,2.70%,0.403,0.559,0.038,5.2M,55.00%
Panama,The Americas,12/1/2001,2.40%,0.318,0.625,0.056,3.1M,62.50%
Paraguay,The Americas,12/1/2001,2.80%,0.377,0.578,0.045,5.5M,56.00%
Peru,The Americas,12/1/2001,2.40%,0.337,0.614,0.049,26.4M,73.40%
Puerto Rico,The Americas,12/1/2001,1.50%,0.233,0.652,0.115,3.8M,94.30%
Sint Maarten (Dutch part),The Americas,12/1/2001,0,0,0,0,0.0M,100.00%
St. Kitts and Nevis,The Americas,12/1/2001,1.70%,0,0,0,0.0M,32.60%
St. Lucia,The Americas,12/1/2001,1.90%,0.315,0.61,0.075,0.2M,27.50%
St. Martin (French part),The Americas,12/1/2001,1.70%,0,0,0,0.0M,0.00%
St. Vincent and the Grenadines,The Americas,12/1/2001,1.90%,0.308,0.622,0.07,0.1M,45.50%
Suriname,The Americas,12/1/2001,2.20%,0.304,0.638,0.058,0.5M,66.50%
Trinidad and Tobago,The Americas,12/1/2001,1.50%,0.246,0.687,0.067,1.3M,10.60%
Turks and Caicos Islands,The Americas,12/1/2001,0,0,0,0,0.0M,85.40%
United States,The Americas,12/1/2001,1.40%,0.212,0.665,0.123,285.0M,79.20%
Uruguay,The Americas,12/1/2001,1.60%,0.244,0.624,0.132,3.3M,92.30%
Venezuela,The Americas,12/1/2001,2.30%,0.332,0.621,0.046,24.9M,88.30%
Algeria,Africa,12/1/2002,1.90%,0.318,0.641,0.041,32.6M,61.50%
Angola,Africa,12/1/2002,5.00%,0.477,0.499,0.025,14.9M,33.90%
Benin,Africa,12/1/2002,4.20%,0.451,0.52,0.028,7.4M,39.00%
Botswana,Africa,12/1/2002,2.60%,0.372,0.598,0.03,1.8M,54.40%
Burkina Faso,Africa,12/1/2002,4.60%,0.467,0.507,0.027,12.3M,19.30%
Burundi,Africa,12/1/2002,4.30%,0.476,0.495,0.028,7.0M,8.70%
Cameroon,Africa,12/1/2002,4.10%,0.449,0.518,0.034,16.8M,46.70%
Central African Republic,Africa,12/1/2002,3.90%,0.422,0.539,0.04,3.8M,37.80%
Chad,Africa,12/1/2002,5.10%,0.491,0.481,0.028,9.0M,21.70%
Comoros,Africa,12/1/2002,3.90%,0.413,0.556,0.031,0.6M,28.00%
Congo (Kinshasa),Africa,12/1/2002,4.70%,0.464,0.508,0.028,49.5M,36.10%
Congo (Brazzaville),Africa,12/1/2002,3.90%,0.42,0.545,0.036,3.3M,59.60%
Cote d'Ivoire,Africa,12/1/2002,3.80%,0.422,0.549,0.029,16.7M,44.90%
Djibouti,Africa,12/1/2002,2.90%,0.398,0.57,0.032,0.7M,76.60%
Egypt,Africa,12/1/2002,2.40%,0.342,0.604,0.054,68.3M,42.90%
Equatorial Guinea,Africa,12/1/2002,3.90%,0.419,0.546,0.035,0.6M,38.80%
Eritrea,Africa,12/1/2002,4.00%,0.454,0.527,0.019,4.3M,18.00%
Ethiopia,Africa,12/1/2002,4.20%,0.465,0.504,0.031,69.9M,15.10%
Gabon,Africa,12/1/2002,3.30%,0.402,0.54,0.058,1.3M,81.60%
"Gambia, The",Africa,12/1/2002,4.50%,0.459,0.515,0.026,1.3M,49.70%
Ghana,Africa,12/1/2002,3.40%,0.409,0.559,0.032,19.8M,45.30%
Guinea,Africa,12/1/2002,4.10%,0.439,0.527,0.034,9.0M,31.70%
Guinea-Bissau,Africa,12/1/2002,4.10%,0.433,0.537,0.03,1.3M,38.30%
Kenya,Africa,12/1/2002,3.90%,0.435,0.538,0.028,33.0M,20.60%
Lesotho,Africa,12/1/2002,3.00%,0.407,0.547,0.046,1.9M,20.60%
Liberia,Africa,12/1/2002,4.20%,0.432,0.537,0.031,3.1M,45.00%
Libya,Africa,12/1/2002,2.30%,0.32,0.64,0.041,5.3M,76.50%
Madagascar,Africa,12/1/2002,4.00%,0.454,0.517,0.03,16.7M,27.70%
Malawi,Africa,12/1/2002,4.40%,0.461,0.509,0.03,11.9M,14.80%
Mali,Africa,12/1/2002,4.80%,0.461,0.506,0.033,10.9M,29.80%
Mauritania,Africa,12/1/2002,3.80%,0.423,0.545,0.032,2.9M,50.80%
Mauritius,Africa,12/1/2002,1.70%,0.252,0.685,0.064,1.2M,42.30%
Morocco,Africa,12/1/2002,2.10%,0.327,0.625,0.048,29.3M,54.00%
Mozambique,Africa,12/1/2002,4.50%,0.441,0.527,0.032,19.3M,29.50%
Namibia,Africa,12/1/2002,3.10%,0.402,0.565,0.033,2.0M,33.80%
Niger,Africa,12/1/2002,5.20%,0.483,0.491,0.025,11.8M,16.40%
Nigeria,Africa,12/1/2002,4.30%,0.434,0.538,0.028,129.2M,36.50%
Rwanda,Africa,12/1/2002,4.00%,0.459,0.513,0.029,9.0M,16.80%
Sao Tome and Principe,Africa,12/1/2002,3.70%,0.429,0.53,0.04,0.1M,55.30%
Senegal,Africa,12/1/2002,4.00%,0.447,0.521,0.032,10.4M,40.60%
Seychelles,Africa,12/1/2002,1.80%,0.267,0.654,0.079,0.1M,50.50%
Sierra Leone,Africa,12/1/2002,4.30%,0.428,0.548,0.024,4.5M,36.10%
Somalia,Africa,12/1/2002,4.80%,0.475,0.496,0.029,7.8M,34.00%
South Africa,Africa,12/1/2002,2.40%,0.32,0.643,0.037,45.8M,57.90%
South Sudan,Africa,12/1/2002,4.10%,0.445,0.524,0.031,7.2M,16.80%
Sudan,Africa,12/1/2002,3.90%,0.435,0.535,0.03,29.2M,32.60%
Swaziland,Africa,12/1/2002,3.20%,0.435,0.535,0.03,1.1M,22.40%
Tanzania,Africa,12/1/2002,4.20%,0.447,0.524,0.029,35.8M,23.00%
Togo,Africa,12/1/2002,3.90%,0.436,0.536,0.028,5.1M,33.80%
Tunisia,Africa,12/1/2002,1.70%,0.281,0.656,0.064,9.8M,64.20%
Uganda,Africa,12/1/2002,4.80%,0.494,0.48,0.026,25.9M,12.30%
Zambia,Africa,12/1/2002,4.50%,0.461,0.511,0.027,10.6M,35.40%
Zimbabwe,Africa,12/1/2002,3.20%,0.417,0.548,0.035,12.6M,34.60%
Afghanistan,Asia,12/1/2002,4.80%,0.495,0.485,0.02,22.2M,21.90%
Armenia,Asia,12/1/2002,1.30%,0.241,0.651,0.108,3.0M,64.30%
Azerbaijan,Asia,12/1/2002,1.40%,0.291,0.649,0.06,8.2M,51.80%
Bangladesh,Asia,12/1/2002,2.60%,0.359,0.6,0.041,137.0M,24.80%
Bhutan,Asia,12/1/2002,2.60%,0.38,0.581,0.039,0.6M,27.60%
Brunei,Asia,12/1/2002,2.20%,0.298,0.673,0.029,0.3M,72.10%
Cambodia,Asia,12/1/2002,2.70%,0.388,0.572,0.04,12.7M,18.80%
China,Asia,12/1/2002,1.30%,0.236,0.692,0.072,"1,280.4M",38.40%
Georgia,Asia,12/1/2002,1.20%,0.205,0.661,0.134,4.4M,52.30%
Hong Kong SAR,Asia,12/1/2002,0.70%,0.161,0.724,0.115,6.7M,100.00%
India,Asia,12/1/2002,2.50%,0.334,0.621,0.045,"1,076.7M",28.20%
Indonesia,Asia,12/1/2002,2.10%,0.302,0.651,0.048,215.0M,43.60%
Japan,Asia,12/1/2002,0.90%,0.142,0.675,0.182,127.4M,81.60%
Kazakhstan,Asia,12/1/2002,1.50%,0.263,0.665,0.071,14.9M,55.30%
North Korea,Asia,12/1/2002,1.70%,0.256,0.68,0.065,23.2M,59.60%
South Korea,Asia,12/1/2002,1.00%,0.203,0.716,0.081,47.6M,80.30%
Kyrgyzstan,Asia,12/1/2002,1.90%,0.335,0.609,0.056,5.0M,35.30%
Laos,Asia,12/1/2002,2.90%,0.425,0.539,0.037,5.5M,24.00%
Macao SAR,Asia,12/1/2002,0.80%,0.208,0.718,0.074,0.4M,100.00%
Malaysia,Asia,12/1/2002,2.10%,0.321,0.639,0.04,24.4M,63.90%
Maldives,Asia,12/1/2002,2.20%,0.385,0.574,0.041,0.3M,30.00%
Mongolia,Asia,12/1/2002,1.90%,0.323,0.64,0.037,2.4M,59.30%
Myanmar,Asia,12/1/2002,2.00%,0.296,0.656,0.048,49.3M,27.70%
Nepal,Asia,12/1/2002,3.10%,0.401,0.559,0.04,24.1M,14.30%
Pakistan,Asia,12/1/2002,2.90%,0.402,0.558,0.04,149.7M,33.80%
Philippines,Asia,12/1/2002,2.90%,0.38,0.587,0.033,81.0M,47.40%
Singapore,Asia,12/1/2002,1.10%,0.206,0.717,0.077,4.2M,100.00%
Sri Lanka,Asia,12/1/2002,1.90%,0.261,0.673,0.065,18.9M,18.40%
Tajikistan,Asia,12/1/2002,2.90%,0.412,0.552,0.036,6.4M,26.40%
Thailand,Asia,12/1/2002,1.40%,0.234,0.696,0.07,63.8M,33.80%
Timor-Leste,Asia,12/1/2002,4.00%,0.497,0.478,0.025,0.9M,25.00%
Turkmenistan,Asia,12/1/2002,2.30%,0.349,0.607,0.044,4.6M,46.40%
Uzbekistan,Asia,12/1/2002,2.10%,0.357,0.598,0.045,25.3M,37.10%
Vietnam,Asia,12/1/2002,1.70%,0.298,0.637,0.065,79.5M,25.50%
Albania,Europe,12/1/2002,1.70%,0.29,0.636,0.075,3.1M,43.50%
Andorra,Europe,12/1/2002,1.10%,0,0,0,0.1M,91.60%
Austria,Europe,12/1/2002,1.00%,0.167,0.677,0.156,8.1M,65.80%
Belarus,Europe,12/1/2002,0.90%,0.172,0.687,0.14,9.9M,70.90%
Belgium,Europe,12/1/2002,1.10%,0.174,0.655,0.171,10.3M,97.20%
Bosnia and Herzegovina,Europe,12/1/2002,0.90%,0.197,0.686,0.117,3.9M,39.30%
Bulgaria,Europe,12/1/2002,0.90%,0.148,0.683,0.17,7.9M,69.50%
Croatia,Europe,12/1/2002,0.90%,0.167,0.671,0.163,4.4M,55.90%
Cyprus,Europe,12/1/2002,1.30%,0.214,0.682,0.104,1.0M,68.70%
Czech Republic,Europe,12/1/2002,0.90%,0.157,0.704,0.139,10.2M,73.80%
Denmark,Europe,12/1/2002,1.20%,0.187,0.664,0.149,5.4M,85.30%
Estonia,Europe,12/1/2002,1.00%,0.167,0.674,0.159,1.4M,69.10%
Faeroe Islands,Europe,12/1/2002,0,0,0,0,0.0M,38.00%
Finland,Europe,12/1/2002,1.10%,0.178,0.669,0.153,5.2M,82.50%
France,Europe,12/1/2002,1.30%,0.187,0.651,0.162,61.8M,76.40%
Germany,Europe,12/1/2002,0.90%,0.151,0.676,0.173,82.5M,73.20%
Greece,Europe,12/1/2002,0.90%,0.148,0.676,0.176,11.0M,73.30%
Hungary,Europe,12/1/2002,1.00%,0.163,0.683,0.154,10.2M,65.10%
Iceland,Europe,12/1/2002,1.40%,0.228,0.656,0.117,0.3M,92.70%
Ireland,Europe,12/1/2002,1.50%,0.211,0.678,0.111,3.9M,59.60%
Isle of Man,Europe,12/1/2002,1.10%,0,0,0,0.1M,51.90%
Italy,Europe,12/1/2002,0.90%,0.142,0.669,0.189,57.1M,67.40%
Kosovo,Europe,12/1/2002,2.10%,0,0,0,1.7M,0.00%
Latvia,Europe,12/1/2002,0.90%,0.165,0.677,0.158,2.3M,67.90%
Liechtenstein,Europe,12/1/2002,1.20%,0,0,0,0.0M,14.90%
Lithuania,Europe,12/1/2002,0.90%,0.187,0.669,0.144,3.4M,66.80%
Luxembourg,Europe,12/1/2002,1.20%,0.189,0.668,0.143,0.4M,85.30%
North Macedonia,Europe,12/1/2002,1.20%,0.213,0.681,0.106,2.1M,58.10%
Malta,Europe,12/1/2002,1.00%,0.193,0.69,0.117,0.4M,92.90%
Moldova,Europe,12/1/2002,1.20%,0.219,0.676,0.105,3.6M,45.60%
Monaco,Europe,12/1/2002,0,0,0,0,0.0M,100.00%
Montenegro,Europe,12/1/2002,1.30%,0.207,0.671,0.121,0.6M,60.60%
Netherlands,Europe,12/1/2002,1.30%,0.186,0.677,0.137,16.1M,79.10%
Norway,Europe,12/1/2002,1.20%,0.2,0.651,0.149,4.5M,77.00%
Poland,Europe,12/1/2002,0.90%,0.18,0.692,0.127,38.2M,61.80%
Portugal,Europe,12/1/2002,1.10%,0.159,0.675,0.166,10.4M,55.70%
Romania,Europe,12/1/2002,1.00%,0.174,0.686,0.14,21.7M,52.80%
Russia,Europe,12/1/2002,1.00%,0.168,0.702,0.13,145.4M,73.30%
San Marino,Europe,12/1/2002,0,0,0,0,0.0M,93.90%
Serbia,Europe,12/1/2002,1.00%,0.193,0.672,0.135,7.5M,53.70%
Slovakia,Europe,12/1/2002,1.00%,0.185,0.7,0.115,5.4M,56.00%
Slovenia,Europe,12/1/2002,0.90%,0.151,0.702,0.147,2.0M,50.80%
Spain,Europe,12/1/2002,1.00%,0.145,0.686,0.169,41.4M,76.50%
Sweden,Europe,12/1/2002,1.10%,0.181,0.647,0.172,8.9M,84.10%
Switzerland,Europe,12/1/2002,1.00%,0.171,0.675,0.155,7.3M,73.40%
Turkey,Europe,12/1/2002,2.10%,0.297,0.64,0.063,65.0M,66.00%
Ukraine,Europe,12/1/2002,0.90%,0.162,0.692,0.145,48.2M,67.30%
United Kingdom,Europe,12/1/2002,1.10%,0.186,0.656,0.158,59.4M,79.00%
Bahrain,Middle East,12/1/2002,2.00%,0.301,0.675,0.024,0.7M,88.40%
Iran,Middle East,12/1/2002,1.80%,0.308,0.647,0.045,67.7M,65.50%
Iraq,Middle East,12/1/2002,3.50%,0.424,0.541,0.035,25.2M,68.60%
Israel,Middle East,12/1/2002,2.10%,0.28,0.62,0.1,6.6M,91.30%
Jordan,Middle East,12/1/2002,3.10%,0.39,0.579,0.031,5.0M,80.40%
Kuwait,Middle East,12/1/2002,2.20%,0.256,0.71,0.034,2.0M,98.10%
Lebanon,Middle East,12/1/2002,1.70%,0.284,0.643,0.072,3.5M,86.20%
Oman,Middle East,12/1/2002,2.30%,0.366,0.609,0.024,2.3M,71.50%
Qatar,Middle East,12/1/2002,1.80%,0.268,0.716,0.016,0.6M,96.70%
Saudi Arabia,Middle East,12/1/2002,2.50%,0.368,0.598,0.034,21.8M,80.30%
Syria,Middle East,12/1/2002,2.90%,0.4,0.567,0.034,17.0M,52.70%
United Arab Emirates,Middle East,12/1/2002,1.60%,0.243,0.746,0.01,3.2M,81.10%
Yemen,Middle East,12/1/2002,3.80%,0.476,0.497,0.028,18.6M,27.30%
American Samoa,Oceania,12/1/2002,0,0,0,0,0.1M,88.40%
Australia,Oceania,12/1/2002,1.30%,0.204,0.67,0.126,19.7M,87.50%
Fiji,Oceania,12/1/2002,2.40%,0.334,0.629,0.037,0.8M,48.70%
French Polynesia,Oceania,12/1/2002,1.90%,0.303,0.652,0.045,0.2M,55.90%
Guam,Oceania,12/1/2002,2.10%,0.302,0.641,0.058,0.2M,93.30%
Kiribati,Oceania,12/1/2002,2.70%,0.389,0.576,0.035,0.1M,43.50%
Marshall Islands,Oceania,12/1/2002,0,0,0,0,0.1M,69.00%
"Micronesia, Fed. Sts.",Oceania,12/1/2002,2.80%,0.395,0.566,0.039,0.1M,22.30%
New Caledonia,Oceania,12/1/2002,1.90%,0.281,0.657,0.062,0.2M,62.60%
New Zealand,Oceania,12/1/2002,1.40%,0.223,0.659,0.118,3.9M,85.90%
Papua New Guinea,Oceania,12/1/2002,3.40%,0.402,0.573,0.025,5.7M,13.20%
Samoa,Oceania,12/1/2002,3.00%,0.404,0.55,0.046,0.2M,21.90%
Solomon Islands,Oceania,12/1/2002,3.50%,0.416,0.555,0.029,0.4M,16.60%
Tonga,Oceania,12/1/2002,2.90%,0.382,0.559,0.059,0.1M,23.10%
Vanuatu,Oceania,12/1/2002,3.10%,0.408,0.56,0.033,0.2M,22.20%
Antigua and Barbuda,The Americas,12/1/2002,2.00%,0.29,0.64,0.07,0.1M,31.10%
Argentina,The Americas,12/1/2002,1.80%,0.273,0.626,0.101,37.6M,89.50%
Aruba,The Americas,12/1/2002,1.30%,0.225,0.695,0.079,0.1M,46.00%
"Bahamas, The",The Americas,12/1/2002,1.60%,0.279,0.664,0.057,0.3M,82.10%
Barbados,The Americas,12/1/2002,1.30%,0.214,0.672,0.114,0.3M,33.50%
Belize,The Americas,12/1/2002,2.80%,0.393,0.565,0.042,0.3M,47.10%
Bermuda,The Americas,12/1/2002,1.30%,0,0,0,0.1M,100.00%
Bolivia,The Americas,12/1/2002,3.00%,0.393,0.564,0.043,8.8M,62.80%
Brazil,The Americas,12/1/2002,2.00%,0.287,0.655,0.057,179.4M,81.90%
Canada,The Americas,12/1/2002,1.10%,0.186,0.687,0.128,31.4M,79.90%
Cayman Islands,The Americas,12/1/2002,0,0,0,0,0.0M,100.00%
Chile,The Americas,12/1/2002,1.60%,0.267,0.658,0.075,15.8M,86.60%
Colombia,The Americas,12/1/2002,2.20%,0.32,0.631,0.049,41.2M,72.70%
Costa Rica,The Americas,12/1/2002,1.90%,0.3,0.644,0.056,4.1M,61.80%
Cuba,The Americas,12/1/2002,1.20%,0.209,0.689,0.103,11.2M,75.80%
Curacao,The Americas,12/1/2002,0,0.234,0.656,0.11,0.1M,90.90%
Dominica,The Americas,12/1/2002,1.50%,0,0,0,0.1M,65.70%
Dominican Republic,The Americas,12/1/2002,2.40%,0.342,0.604,0.054,8.9M,63.40%
Ecuador,The Americas,12/1/2002,2.50%,0.338,0.609,0.053,13.0M,61.10%
El Salvador,The Americas,12/1/2002,2.30%,0.374,0.568,0.058,6.0M,60.00%
Greenland,The Americas,12/1/2002,1.70%,0,0,0,0.1M,82.10%
Grenada,The Americas,12/1/2002,1.90%,0.33,0.592,0.077,0.1M,36.10%
Guatemala,The Americas,12/1/2002,3.60%,0.438,0.521,0.042,11.8M,45.90%
Guyana,The Americas,12/1/2002,2.20%,0.358,0.6,0.042,0.8M,28.50%
Haiti,The Americas,12/1/2002,3.00%,0.394,0.566,0.04,8.9M,38.90%
Honduras,The Americas,12/1/2002,3.00%,0.414,0.545,0.04,6.5M,46.60%
Jamaica,The Americas,12/1/2002,1.80%,0.321,0.604,0.076,2.6M,52.30%
Mexico,The Americas,12/1/2002,2.30%,0.334,0.615,0.051,106.7M,75.40%
Nicaragua,The Americas,12/1/2002,2.70%,0.397,0.565,0.039,5.2M,55.20%
Panama,The Americas,12/1/2002,2.30%,0.316,0.627,0.057,3.2M,62.80%
Paraguay,The Americas,12/1/2002,2.70%,0.372,0.582,0.045,5.6M,56.60%
Peru,The Americas,12/1/2002,2.30%,0.333,0.617,0.051,26.7M,73.90%
Puerto Rico,The Americas,12/1/2002,1.40%,0.23,0.653,0.117,3.8M,94.30%
Sint Maarten (Dutch part),The Americas,12/1/2002,0,0,0,0,0.0M,100.00%
St. Kitts and Nevis,The Americas,12/1/2002,1.70%,0,0,0,0.0M,32.40%
St. Lucia,The Americas,12/1/2002,1.80%,0.308,0.619,0.073,0.2M,26.30%
St. Martin (French part),The Americas,12/1/2002,1.70%,0,0,0,0.0M,0.00%
St. Vincent and the Grenadines,The Americas,12/1/2002,1.90%,0.302,0.627,0.071,0.1M,45.90%
Suriname,The Americas,12/1/2002,2.20%,0.303,0.639,0.059,0.5M,66.60%
Trinidad and Tobago,The Americas,12/1/2002,1.50%,0.238,0.694,0.068,1.3M,10.40%
Turks and Caicos Islands,The Americas,12/1/2002,0,0,0,0,0.0M,86.00%
United States,The Americas,12/1/2002,1.40%,0.21,0.667,0.123,287.6M,79.40%
Uruguay,The Americas,12/1/2002,1.60%,0.243,0.624,0.133,3.3M,92.60%
Venezuela,The Americas,12/1/2002,2.30%,0.327,0.625,0.047,25.3M,88.40%
Algeria,Africa,12/1/2003,2.00%,0.307,0.651,0.042,33.0M,62.30%
Angola,Africa,12/1/2003,5.00%,0.477,0.498,0.025,15.4M,34.60%
Benin,Africa,12/1/2003,4.10%,0.449,0.522,0.028,7.7M,39.30%
Botswana,Africa,12/1/2003,2.60%,0.367,0.602,0.031,1.8M,54.60%
Burkina Faso,Africa,12/1/2003,4.50%,0.466,0.508,0.026,12.7M,20.00%
Burundi,Africa,12/1/2003,4.30%,0.468,0.504,0.028,7.3M,8.90%
Cameroon,Africa,12/1/2003,4.10%,0.447,0.52,0.033,17.2M,47.30%
Central African Republic,Africa,12/1/2003,3.80%,0.421,0.539,0.04,3.8M,37.90%
Chad,Africa,12/1/2003,5.00%,0.492,0.481,0.027,9.3M,21.70%
Comoros,Africa,12/1/2003,3.90%,0.414,0.556,0.03,0.6M,27.90%
Congo (Kinshasa),Africa,12/1/2003,4.70%,0.464,0.508,0.028,51.0M,36.50%
Congo (Brazzaville),Africa,12/1/2003,3.90%,0.421,0.544,0.036,3.4M,60.10%
Cote d'Ivoire,Africa,12/1/2003,3.70%,0.422,0.548,0.029,16.9M,45.50%
Djibouti,Africa,12/1/2003,2.90%,0.39,0.578,0.032,0.8M,76.70%
