Country/Region,Region,Year,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Life Expectancy Female,Life Expectancy Male
Mexico,The Americas,12/1/2001,5.40%,$373 ,0.02,77,72
Nicaragua,The Americas,12/1/2001,5.30%,$54 ,0.031,73,67
Panama,The Americas,12/1/2001,7.70%,$293 ,0.021,78,73
Paraguay,The Americas,12/1/2001,7.60%,$107 ,0.027,73,68
Peru,The Americas,12/1/2001,4.70%,$96 ,0.028,74,68
Puerto Rico,The Americas,12/1/2001,0,0,0,81,73
Sint Maarten (Dutch part),The Americas,12/1/2001,0,0,0,0,0
St. Kitts and Nevis,The Americas,12/1/2001,3.80%,$378 ,0.013,0,0
St. Lucia,The Americas,12/1/2001,6.20%,$278 ,0.015,74,70
St. Martin (French part),The Americas,12/1/2001,0,0,0,81,74
St. Vincent and the Grenadines,The Americas,12/1/2001,3.60%,$145 ,0.019,73,68
Suriname,The Americas,12/1/2001,8.40%,$136 ,0.029,72,65
Trinidad and Tobago,The Americas,12/1/2001,4.40%,$305 ,0.025,72,65
Turks and Caicos Islands,The Americas,12/1/2001,0,0,0,0,0
United States,The Americas,12/1/2001,14.20%,"$5,138 ",0.007,79,74
Uruguay,The Americas,12/1/2001,11.20%,$703 ,0.014,79,71
Venezuela,The Americas,12/1/2001,6.00%,$295 ,0.018,76,70
Algeria,Africa,12/1/2002,3.70%,$65 ,0.032,71,68
Angola,Africa,12/1/2002,4.40%,$33 ,0.126,48,45
Benin,Africa,12/1/2002,4.30%,$16 ,0.085,58,54
Botswana,Africa,12/1/2002,5.70%,$193 ,0.054,49,48
Burkina Faso,Africa,12/1/2002,5.00%,$13 ,0.094,52,50
Burundi,Africa,12/1/2002,7.10%,$6 ,0.086,50,48
Cameroon,Africa,12/1/2002,4.80%,$31 ,0.087,53,51
Central African Republic,Africa,12/1/2002,4.20%,$11 ,0.113,46,42
Chad,Africa,12/1/2002,8.00%,$18 ,0.104,48,46
Comoros,Africa,12/1/2002,3.40%,$15 ,0.072,60,57
Congo (Kinshasa),Africa,12/1/2002,4.20%,$5 ,0.113,48,46
Congo (Brazzaville),Africa,12/1/2002,2.50%,$23 ,0.073,54,52
Cote d'Ivoire,Africa,12/1/2002,4.70%,$33 ,0.096,47,46
Djibouti,Africa,12/1/2002,5.40%,$42 ,0.076,59,56
Egypt,Africa,12/1/2002,6.10%,$74 ,0.031,71,67
Equatorial Guinea,Africa,12/1/2002,1.80%,$71 ,0.094,49,47
Eritrea,Africa,12/1/2002,4.00%,$6 ,0.054,59,55
Ethiopia,Africa,12/1/2002,4.70%,$5 ,0.083,55,53
Gabon,Africa,12/1/2002,3.70%,$142 ,0.054,61,58
"Gambia, The",Africa,12/1/2002,3.80%,$17 ,0.061,57,55
Ghana,Africa,12/1/2002,4.80%,$15 ,0.062,58,57
Guinea,Africa,12/1/2002,6.10%,$20 ,0.095,51,51
Guinea-Bissau,Africa,12/1/2002,5.80%,$17 ,0.104,53,51
Kenya,Africa,12/1/2002,4.50%,$18 ,0.066,54,52
Lesotho,Africa,12/1/2002,6.90%,$24 ,0.082,45,44
Liberia,Africa,12/1/2002,5.40%,$9 ,0.104,54,52
Libya,Africa,12/1/2002,4.90%,$185 ,0.023,74,71
Madagascar,Africa,12/1/2002,5.20%,$14 ,0.064,61,59
Malawi,Africa,12/1/2002,4.80%,$11 ,0.09,47,47
Mali,Africa,12/1/2002,6.30%,$19 ,0.109,50,50
Mauritania,Africa,12/1/2002,6.00%,$24 ,0.076,61,58
Mauritius,Africa,12/1/2002,4.20%,$168 ,0.014,76,69
Morocco,Africa,12/1/2002,5.30%,$73 ,0.04,70,67
Mozambique,Africa,12/1/2002,6.40%,$14 ,0.104,49,46
Namibia,Africa,12/1/2002,6.20%,$106 ,0.049,56,52
Niger,Africa,12/1/2002,7.00%,$12 ,0.094,52,52
Nigeria,Africa,12/1/2002,3.90%,$18 ,0.106,48,47
Rwanda,Africa,12/1/2002,4.20%,$8 ,0.092,51,50
Sao Tome and Principe,Africa,12/1/2002,10.60%,$59 ,0.054,66,62
Senegal,Africa,12/1/2002,5.10%,$26 ,0.065,60,57
Seychelles,Africa,12/1/2002,4.40%,$371 ,0.012,77,69
Sierra Leone,Africa,12/1/2002,16.00%,$44 ,0.136,40,39
Somalia,Africa,12/1/2002,0,0,0.105,53,50
South Africa,Africa,12/1/2002,8.50%,$205 ,0.053,55,52
South Sudan,Africa,12/1/2002,0,0,0.1,51,49
Sudan,Africa,12/1/2002,3.60%,$18 ,0.066,61,57
Swaziland,Africa,12/1/2002,5.20%,$58 ,0.082,47,46
Tanzania,Africa,12/1/2002,3.40%,$10 ,0.071,52,51
Togo,Africa,12/1/2002,5.00%,$14 ,0.073,55,53
Tunisia,Africa,12/1/2002,5.30%,$128 ,0.023,75,71
Uganda,Africa,12/1/2002,7.50%,$18 ,0.081,50,50
Zambia,Africa,12/1/2002,6.70%,$24 ,0.091,44,43
Zimbabwe,Africa,12/1/2002,0,0,0.059,43,43
Afghanistan,Asia,12/1/2002,8.90%,$14 ,0.091,57,55
Armenia,Asia,12/1/2002,5.40%,$42 ,0.024,76,69
Azerbaijan,Asia,12/1/2002,4.50%,$34 ,0.053,70,65
Bangladesh,Asia,12/1/2002,3.10%,$11 ,0.059,67,66
Bhutan,Asia,12/1/2002,7.90%,$71 ,0.053,62,62
Brunei,Asia,12/1/2002,3.10%,$526 ,0.008,78,75
Cambodia,Asia,12/1/2002,6.40%,$22 ,0.069,67,61
China,Asia,12/1/2002,4.80%,$54 ,0.026,74,72
Georgia,Asia,12/1/2002,8.70%,$64 ,0.028,76,69
Hong Kong SAR,Asia,12/1/2002,0,0,0,85,79
India,Asia,12/1/2002,4.40%,$21 ,0.062,64,62
Indonesia,Asia,12/1/2002,2.20%,$20 ,0.038,70,66
Japan,Asia,12/1/2002,7.90%,"$2,455 ",0.003,85,78
Kazakhstan,Asia,12/1/2002,3.60%,$61 ,0.034,72,61
North Korea,Asia,12/1/2002,0,0,0.034,70,63
South Korea,Asia,12/1/2002,4.80%,$581 ,0.006,80,73
Kyrgyzstan,Asia,12/1/2002,5.40%,$17 ,0.039,72,64
Laos,Asia,12/1/2002,4.00%,$13 ,0.078,64,62
Macao SAR,Asia,12/1/2002,0,0,0,80,76
Malaysia,Asia,12/1/2002,3.30%,$138 ,0.008,75,71
Maldives,Asia,12/1/2002,5.20%,$152 ,0.028,73,70
Mongolia,Asia,12/1/2002,4.80%,$28 ,0.044,67,61
Myanmar,Asia,12/1/2002,2.40%,$3 ,0.056,65,61
Nepal,Asia,12/1/2002,5.60%,$14 ,0.054,64,62
Pakistan,Asia,12/1/2002,3.00%,$15 ,0.085,65,64
Philippines,Asia,12/1/2002,2.80%,$28 ,0.029,70,64
Singapore,Asia,12/1/2002,2.90%,$632 ,0.003,81,77
Sri Lanka,Asia,12/1/2002,3.90%,$34 ,0.013,76,69
Tajikistan,Asia,12/1/2002,4.50%,$9 ,0.066,68,61
Thailand,Asia,12/1/2002,3.70%,$74 ,0.018,75,68
Timor-Leste,Asia,12/1/2002,6.10%,$19 ,0.076,63,60
Turkmenistan,Asia,12/1/2002,3.30%,$63 ,0.063,68,60
Uzbekistan,Asia,12/1/2002,5.40%,$21 ,0.05,70,64
Vietnam,Asia,12/1/2002,5.10%,$22 ,0.026,79,69
Albania,Europe,12/1/2002,6.50%,$89 ,0.021,78,72
Andorra,Europe,12/1/2002,5.80%,"$1,486 ",0.004,0,0
Austria,Europe,12/1/2002,10.10%,"$2,599 ",0.004,82,76
Belarus,Europe,12/1/2002,6.50%,$96 ,0.009,74,62
Belgium,Europe,12/1/2002,8.50%,"$2,075 ",0.004,81,75
Bosnia and Herzegovina,Europe,12/1/2002,7.10%,$122 ,0.007,77,73
Bulgaria,Europe,12/1/2002,7.60%,$154 ,0.016,75,69
Croatia,Europe,12/1/2002,6.30%,$375 ,0.007,78,71
Cyprus,Europe,12/1/2002,6.10%,$882 ,0.005,80,76
Czech Republic,Europe,12/1/2002,6.80%,$522 ,0.005,79,72
Denmark,Europe,12/1/2002,9.30%,"$3,023 ",0.004,79,75
Estonia,Europe,12/1/2002,4.80%,$256 ,0.008,77,65
Faeroe Islands,Europe,12/1/2002,0,0,0,82,77
Finland,Europe,12/1/2002,7.80%,"$2,032 ",0.003,82,75
France,Europe,12/1/2002,10.60%,"$2,497 ",0.004,83,76
Germany,Europe,12/1/2002,10.70%,"$2,610 ",0.004,81,75
Greece,Europe,12/1/2002,9.10%,"$1,223 ",0.006,81,76
Hungary,Europe,12/1/2002,7.60%,$495 ,0.009,77,68
Iceland,Europe,12/1/2002,10.20%,"$3,156 ",0.003,83,79
Ireland,Europe,12/1/2002,7.00%,"$2,221 ",0.005,80,75
Isle of Man,Europe,12/1/2002,0,0,0,82,75
Italy,Europe,12/1/2002,8.20%,"$1,761 ",0.004,83,77
Kosovo,Europe,12/1/2002,0,0,0,70,66
Latvia,Europe,12/1/2002,6.30%,$248 ,0.013,77,65
Liechtenstein,Europe,12/1/2002,0,0,0,82,77
Lithuania,Europe,12/1/2002,6.40%,$263 ,0.009,78,66
Luxembourg,Europe,12/1/2002,8.30%,"$4,202 ",0.003,82,75
North Macedonia,Europe,12/1/2002,9.30%,$170 ,0.013,76,71
Malta,Europe,12/1/2002,7.90%,$839 ,0.006,81,76
Moldova,Europe,12/1/2002,8.10%,$37 ,0.023,71,63
Monaco,Europe,12/1/2002,3.40%,"$2,985 ",0.004,0,0
Montenegro,Europe,12/1/2002,8.60%,$180 ,0.011,77,71
Netherlands,Europe,12/1/2002,8.90%,"$2,411 ",0.005,81,76
Norway,Europe,12/1/2002,10.40%,"$4,418 ",0.004,82,77
Poland,Europe,12/1/2002,6.30%,$328 ,0.007,79,70
Portugal,Europe,12/1/2002,9.30%,"$1,190 ",0.005,81,74
Romania,Europe,12/1/2002,4.60%,$97 ,0.022,75,67
Russia,Europe,12/1/2002,6.00%,$142 ,0.018,72,59
San Marino,Europe,12/1/2002,6.50%,"$2,894 ",0.004,85,78
Serbia,Europe,12/1/2002,8.90%,$179 ,0.01,75,70
Slovakia,Europe,12/1/2002,5.60%,$256 ,0.009,78,70
Slovenia,Europe,12/1/2002,8.60%,"$1,000 ",0.004,80,72
Spain,Europe,12/1/2002,7.30%,"$1,215 ",0.005,83,76
Sweden,Europe,12/1/2002,9.20%,"$2,599 ",0.003,82,78
Switzerland,Europe,12/1/2002,10.60%,"$4,190 ",0.005,83,78
Turkey,Europe,12/1/2002,5.40%,$180 ,0.03,75,68
Ukraine,Europe,12/1/2002,6.30%,$55 ,0.014,74,63
United Kingdom,Europe,12/1/2002,7.60%,"$2,065 ",0.005,81,76
Bahrain,Middle East,12/1/2002,3.90%,$510 ,0.01,76,74
Iran,Middle East,12/1/2002,5.10%,$102 ,0.026,72,69
Iraq,Middle East,12/1/2002,1.40%,$9 ,0.035,73,68
Israel,Middle East,12/1/2002,7.80%,"$1,334 ",0.005,82,78
Jordan,Middle East,12/1/2002,9.70%,$189 ,0.022,74,71
Kuwait,Middle East,12/1/2002,3.60%,$661 ,0.011,74,73
Lebanon,Middle East,12/1/2002,10.00%,$546 ,0.015,77,74
Oman,Middle East,12/1/2002,3.20%,$278 ,0.013,75,71
Qatar,Middle East,12/1/2002,2.70%,$833 ,0.01,78,76
Saudi Arabia,Middle East,12/1/2002,4.30%,$375 ,0.018,75,71
Syria,Middle East,12/1/2002,4.90%,$57 ,0.018,76,72
United Arab Emirates,Middle East,12/1/2002,2.70%,$917 ,0.009,76,74
Yemen,Middle East,12/1/2002,4.20%,$27 ,0.064,62,60
American Samoa,Oceania,12/1/2002,0,0,0,0,0
Australia,Oceania,12/1/2002,8.40%,"$1,847 ",0.005,83,77
Fiji,Oceania,12/1/2002,3.50%,$79 ,0.02,71,65
French Polynesia,Oceania,12/1/2002,0,0,0,76,70
Guam,Oceania,12/1/2002,0,0,0,78,73
Kiribati,Oceania,12/1/2002,8.80%,$76 ,0.052,68,63
Marshall Islands,Oceania,12/1/2002,18.20%,$418 ,0.033,0,0
"Micronesia, Fed. Sts.",Oceania,12/1/2002,7.90%,$178 ,0.04,68,67
New Caledonia,Oceania,12/1/2002,0,0,0,79,71
New Zealand,Oceania,12/1/2002,8.00%,"$1,244 ",0.006,81,77
Papua New Guinea,Oceania,12/1/2002,4.60%,$24 ,0.057,62,57
Samoa,Oceania,12/1/2002,5.50%,$83 ,0.018,73,67
Solomon Islands,Oceania,12/1/2002,6.10%,$48 ,0.029,66,63
Tonga,Oceania,12/1/2002,5.00%,$92 ,0.015,73,69
Vanuatu,Oceania,12/1/2002,3.80%,$52 ,0.019,70,67
Antigua and Barbuda,The Americas,12/1/2002,4.30%,$433 ,0.012,76,71
Argentina,The Americas,12/1/2002,8.30%,$225 ,0.017,78,71
Aruba,The Americas,12/1/2002,0,0,0,76,71
"Bahamas, The",The Americas,12/1/2002,5.30%,"$1,183 ",0.013,76,70
Barbados,The Americas,12/1/2002,7.40%,$677 ,0.015,76,71
Belize,The Americas,12/1/2002,4.40%,$162 ,0.02,75,68
Bermuda,The Americas,12/1/2002,0,0,0,81,76
Bolivia,The Americas,12/1/2002,6.50%,$58 ,0.052,66,62
Brazil,The Americas,12/1/2002,7.20%,$203 ,0.025,75,67
Canada,The Americas,12/1/2002,9.60%,"$2,254 ",0.005,82,77
Cayman Islands,The Americas,12/1/2002,0,0,0,0,0
Chile,The Americas,12/1/2002,7.50%,$331 ,0.008,81,75
Colombia,The Americas,12/1/2002,5.70%,$135 ,0.02,75,68
Costa Rica,The Americas,12/1/2002,8.00%,$332 ,0.01,80,76
Cuba,The Americas,12/1/2002,6.50%,$195 ,0.006,79,75
Curacao,The Americas,12/1/2002,0,0,0,0,0
Dominica,The Americas,12/1/2002,5.10%,$237 ,0.013,79,75
Dominican Republic,The Americas,12/1/2002,6.30%,$176 ,0.032,74,68
Ecuador,The Americas,12/1/2002,4.80%,$105 ,0.026,77,71
El Salvador,The Americas,12/1/2002,7.70%,$184 ,0.024,75,65
Greenland,The Americas,12/1/2002,0,0,0,71,65
Grenada,The Americas,12/1/2002,6.60%,$353 ,0.013,73,68
Guatemala,The Americas,12/1/2002,6.20%,$110 ,0.037,72,65
Guyana,The Americas,12/1/2002,5.80%,$56 ,0.037,67,60
Haiti,The Americas,12/1/2002,5.50%,$20 ,0.071,60,56
Honduras,The Americas,12/1/2002,7.30%,$88 ,0.029,73,69
Jamaica,The Americas,12/1/2002,4.90%,$180 ,0.019,74,68
Mexico,The Americas,12/1/2002,5.60%,$396 ,0.019,77,72
Nicaragua,The Americas,12/1/2002,5.70%,$57 ,0.03,74,68
Panama,The Americas,12/1/2002,8.00%,$310 ,0.021,78,73
Paraguay,The Americas,12/1/2002,7.00%,$79 ,0.026,73,69
Peru,The Americas,12/1/2002,4.80%,$102 ,0.026,74,69
Puerto Rico,The Americas,12/1/2002,0,0,0,82,74
Sint Maarten (Dutch part),The Americas,12/1/2002,0,0,0,0,0
St. Kitts and Nevis,The Americas,12/1/2002,3.70%,$374 ,0.012,74,69
St. Lucia,The Americas,12/1/2002,6.40%,$289 ,0.015,74,70
St. Martin (French part),The Americas,12/1/2002,0,0,0,81,74
St. Vincent and the Grenadines,The Americas,12/1/2002,3.90%,$168 ,0.019,73,68
Suriname,The Americas,12/1/2002,7.10%,$161 ,0.029,72,65
Trinidad and Tobago,The Americas,12/1/2002,5.00%,$352 ,0.025,73,65
Turks and Caicos Islands,The Americas,12/1/2002,0,0,0,0,0
United States,The Americas,12/1/2002,15.10%,"$5,578 ",0.007,80,74
Uruguay,The Americas,12/1/2002,11.00%,$449 ,0.014,79,71
Venezuela,The Americas,12/1/2002,5.70%,$207 ,0.017,76,70
Algeria,Africa,12/1/2003,3.60%,$74 ,0.031,71,68
Angola,Africa,12/1/2003,4.90%,$45 ,0.125,49,46
Benin,Africa,12/1/2003,4.60%,$21 ,0.082,58,55
Botswana,Africa,12/1/2003,4.30%,$190 ,0.051,48,47
Burkina Faso,Africa,12/1/2003,5.50%,$19 ,0.091,53,51
Burundi,Africa,12/1/2003,7.20%,$6 ,0.082,50,48
Cameroon,Africa,12/1/2003,4.90%,$39 ,0.084,53,51
Central African Republic,Africa,12/1/2003,4.40%,$13 ,0.112,46,43
Chad,Africa,12/1/2003,5.80%,$17 ,0.103,48,46
Comoros,Africa,12/1/2003,3.60%,$21 ,0.072,60,57
Congo (Kinshasa),Africa,12/1/2003,5.10%,$6 ,0.111,49,46
Congo (Brazzaville),Africa,12/1/2003,2.60%,$27 ,0.07,54,52
Cote d'Ivoire,Africa,12/1/2003,5.10%,$42 ,0.094,47,46
Djibouti,Africa,12/1/2003,6.20%,$50 ,0.075,59,56
Egypt,Africa,12/1/2003,5.60%,$56 ,0.029,72,67
Equatorial Guinea,Africa,12/1/2003,2.00%,$101 ,0.092,49,47
Eritrea,Africa,12/1/2003,3.20%,$6 ,0.051,60,55
Ethiopia,Africa,12/1/2003,4.90%,$6 ,0.079,55,54
Gabon,Africa,12/1/2003,3.80%,$174 ,0.053,61,58
"Gambia, The",Africa,12/1/2003,4.20%,$15 ,0.059,57,55
Ghana,Africa,12/1/2003,4.80%,$18 ,0.06,59,57
Guinea,Africa,12/1/2003,4.90%,$18 ,0.092,52,52
Guinea-Bissau,Africa,12/1/2003,5.80%,$20 ,0.101,53,51
Kenya,Africa,12/1/2003,4.40%,$20 ,0.065,54,52
Lesotho,Africa,12/1/2003,7.10%,$36 ,0.083,44,44
Liberia,Africa,12/1/2003,3.40%,$5 ,0.097,54,53
Libya,Africa,12/1/2003,4.10%,$194 ,0.022,75,71
Madagascar,Africa,12/1/2003,4.80%,$15 ,0.061,62,59
Malawi,Africa,12/1/2003,6.30%,$13 ,0.084,47,47
Mali,Africa,12/1/2003,6.20%,$24 ,0.105,50,51
Mauritania,Africa,12/1/2003,5.40%,$23 ,0.076,62,59
Mauritius,Africa,12/1/2003,3.90%,$188 ,0.014,76,69
Morocco,Africa,12/1/2003,5.30%,$88 ,0.038,70,67
Mozambique,Africa,12/1/2003,6.40%,$15 ,0.099,49,46
Namibia,Africa,12/1/2003,6.50%,$162 ,0.049,56,52
Niger,Africa,12/1/2003,6.80%,$15 ,0.09,53,53
Nigeria,Africa,12/1/2003,7.50%,$39 ,0.103,48,47
Rwanda,Africa,12/1/2003,6.30%,$13 ,0.083,53,51
Sao Tome and Principe,Africa,12/1/2003,11.80%,$78 ,0.052,66,62
Senegal,Africa,12/1/2003,5.40%,$35 ,0.062,61,58
Seychelles,Africa,12/1/2003,4.80%,$403 ,0.012,76,66
Sierra Leone,Africa,12/1/2003,15.50%,$45 ,0.133,41,40
Somalia,Africa,12/1/2003,0,0,0.105,53,50
South Africa,Africa,12/1/2003,8.60%,$310 ,0.053,54,51
South Sudan,Africa,12/1/2003,0,0,0.095,51,49
Sudan,Africa,12/1/2003,3.80%,$23 ,0.064,61,57
Swaziland,Africa,12/1/2003,5.80%,$98 ,0.082,46,46
Tanzania,Africa,12/1/2003,3.70%,$12 ,0.066,53,51
Togo,Africa,12/1/2003,5.60%,$18 ,0.072,55,53
Tunisia,Africa,12/1/2003,5.40%,$151 ,0.022,75,71
Uganda,Africa,12/1/2003,7.60%,$18 ,0.077,51,51
Zambia,Africa,12/1/2003,6.70%,$27 ,0.086,45,44
Zimbabwe,Africa,12/1/2003,0,0,0.058,42,43
Afghanistan,Asia,12/1/2003,10.00%,$18 ,0.088,57,55
Armenia,Asia,12/1/2003,5.60%,$51 ,0.023,76,69
Azerbaijan,Asia,12/1/2003,6.60%,$57 ,0.05,71,65
Bangladesh,Asia,12/1/2003,3.00%,$11 ,0.056,67,66
Bhutan,Asia,12/1/2003,5.10%,$51 ,0.051,63,62
Brunei,Asia,12/1/2003,3.10%,$575 ,0.008,79,75
Cambodia,Asia,12/1/2003,7.30%,$26 ,0.063,68,62
China,Asia,12/1/2003,4.80%,$61 ,0.024,75,72
Georgia,Asia,12/1/2003,8.50%,$74 ,0.026,76,69
Hong Kong SAR,Asia,12/1/2003,0,0,0,84,79
India,Asia,12/1/2003,4.30%,$24 ,0.06,65,62
Indonesia,Asia,12/1/2003,2.50%,$27 ,0.036,70,66
Japan,Asia,12/1/2003,8.00%,"$2,693 ",0.003,85,78
Kazakhstan,Asia,12/1/2003,3.70%,$77 ,0.032,72,61
North Korea,Asia,12/1/2003,0,0,0.03,71,64
South Korea,Asia,12/1/2003,5.20%,$695 ,0.005,81,74
Kyrgyzstan,Asia,12/1/2003,5.40%,$21 ,0.037,72,65
Laos,Asia,12/1/2003,4.90%,$18 ,0.075,65,62
Macao SAR,Asia,12/1/2003,0,0,0,81,76
Malaysia,Asia,12/1/2003,3.90%,$172 ,0.007,76,71
Maldives,Asia,12/1/2003,6.00%,$199 ,0.025,74,71
Mongolia,Asia,12/1/2003,7.40%,$48 ,0.042,68,61
Myanmar,Asia,12/1/2003,2.30%,$4 ,0.054,65,61
Nepal,Asia,12/1/2003,5.40%,$14 ,0.052,65,63
Pakistan,Asia,12/1/2003,2.90%,$16 ,0.083,65,64
Philippines,Asia,12/1/2003,3.20%,$33 ,0.029,71,64
Singapore,Asia,12/1/2003,3.60%,$823 ,0.003,82,77
Sri Lanka,Asia,12/1/2003,3.90%,$38 ,0.013,77,70
Tajikistan,Asia,12/1/2003,4.50%,$11 ,0.061,69,61
Thailand,Asia,12/1/2003,3.60%,$79 ,0.017,75,68
Timor-Leste,Asia,12/1/2003,7.50%,$24 ,0.072,63,60
Turkmenistan,Asia,12/1/2003,3.80%,$95 ,0.062,68,60
Uzbekistan,Asia,12/1/2003,5.20%,$20 ,0.049,71,64
Vietnam,Asia,12/1/2003,5.20%,$25 ,0.025,79,70
Albania,Europe,12/1/2003,6.20%,$108 ,0.02,79,72
Andorra,Europe,12/1/2003,5.80%,"$1,891 ",0.003,0,0
Austria,Europe,12/1/2003,10.30%,"$3,223 ",0.004,82,76
Belarus,Europe,12/1/2003,6.60%,$120 ,0.009,75,63
Belgium,Europe,12/1/2003,10.00%,"$3,000 ",0.004,81,75
Bosnia and Herzegovina,Europe,12/1/2003,8.00%,$174 ,0.007,78,73
Bulgaria,Europe,12/1/2003,7.60%,$201 ,0.016,76,69
Croatia,Europe,12/1/2003,6.40%,$495 ,0.006,78,71
Cyprus,Europe,12/1/2003,6.80%,"$1,235 ",0.005,81,76
Czech Republic,Europe,12/1/2003,7.10%,$666 ,0.005,79,72
Denmark,Europe,12/1/2003,9.50%,"$3,756 ",0.004,80,75
Estonia,Europe,12/1/2003,4.90%,$352 ,0.007,77,66
Faeroe Islands,Europe,12/1/2003,0,0,0,82,77
Finland,Europe,12/1/2003,8.20%,"$2,572 ",0.003,82,75
France,Europe,12/1/2003,10.80%,"$3,137 ",0.004,83,76
Germany,Europe,12/1/2003,10.90%,"$3,206 ",0.004,81,76
Greece,Europe,12/1/2003,8.90%,"$1,579 ",0.006,81,77
Hungary,Europe,12/1/2003,8.60%,$706 ,0.008,77,68
Iceland,Europe,12/1/2003,10.60%,"$4,020 ",0.003,83,80
Ireland,Europe,12/1/2003,7.30%,"$2,918 ",0.005,81,76
Isle of Man,Europe,12/1/2003,0,0,0,0,0
Italy,Europe,12/1/2003,8.20%,"$2,157 ",0.004,83,77
Kosovo,Europe,12/1/2003,0,0,0,71,66
Latvia,Europe,12/1/2003,6.20%,$295 ,0.012,77,66
Liechtenstein,Europe,12/1/2003,0,0,0,82,78
Lithuania,Europe,12/1/2003,6.50%,$351 ,0.009,78,67
Luxembourg,Europe,12/1/2003,7.70%,"$4,984 ",0.003,81,75
North Macedonia,Europe,12/1/2003,9.30%,$212 ,0.013,76,71
Malta,Europe,12/1/2003,8.20%,"$1,074 ",0.006,81,76
Moldova,Europe,12/1/2003,8.30%,$46 ,0.021,72,64
Monaco,Europe,12/1/2003,3.90%,"$4,216 ",0.004,0,0
Montenegro,Europe,12/1/2003,9.10%,$254 ,0.011,76,71
Netherlands,Europe,12/1/2003,9.80%,"$3,249 ",0.005,81,76
Norway,Europe,12/1/2003,10.60%,"$5,220 ",0.004,82,77
Poland,Europe,12/1/2003,6.20%,$354 ,0.007,79,71
Portugal,Europe,12/1/2003,9.70%,"$1,514 ",0.004,81,74
Romania,Europe,12/1/2003,5.30%,$146 ,0.021,75,68
Russia,Europe,12/1/2003,5.60%,$167 ,0.017,72,59
San Marino,Europe,12/1/2003,5.10%,"$2,837 ",0.004,85,78
Serbia,Europe,12/1/2003,8.80%,$171 ,0.009,75,70
Slovakia,Europe,12/1/2003,5.80%,$360 ,0.009,78,70
Slovenia,Europe,12/1/2003,8.60%,"$1,263 ",0.004,81,73
Spain,Europe,12/1/2003,8.20%,"$1,730 ",0.005,83,76
Sweden,Europe,12/1/2003,9.30%,"$3,277 ",0.003,82,78
Switzerland,Europe,12/1/2003,10.90%,"$5,002 ",0.004,83,78
Turkey,Europe,12/1/2003,5.30%,$232 ,0.029,75,68
Ukraine,Europe,12/1/2003,6.90%,$73 ,0.014,74,63
United Kingdom,Europe,12/1/2003,7.80%,"$2,444 ",0.005,81,76
Bahrain,Middle East,12/1/2003,3.70%,$536 ,0.01,76,74
Iran,Middle East,12/1/2003,4.70%,$97 ,0.024,72,70
Iraq,Middle East,12/1/2003,4.40%,$16 ,0.034,73,68
Israel,Middle East,12/1/2003,7.70%,"$1,364 ",0.005,82,78
Jordan,Middle East,12/1/2003,9.20%,$187 ,0.022,74,71
Kuwait,Middle East,12/1/2003,3.20%,$728 ,0.01,75,73
Lebanon,Middle East,12/1/2003,9.30%,$498 ,0.014,78,74
Oman,Middle East,12/1/2003,3.20%,$294 ,0.012,76,72
Qatar,Middle East,12/1/2003,4.10%,"$1,476 ",0.01,78,76
Saudi Arabia,Middle East,12/1/2003,4.00%,$384 ,0.018,75,72
Syria,Middle East,12/1/2003,5.10%,$60 ,0.018,76,72
United Arab Emirates,Middle East,12/1/2003,2.60%,$968 ,0.009,76,74
Yemen,Middle East,12/1/2003,5.00%,$35 ,0.061,63,60
American Samoa,Oceania,12/1/2003,0,0,0,0,0
Australia,Oceania,12/1/2003,8.30%,"$2,323 ",0.005,83,78
Fiji,Oceania,12/1/2003,3.40%,$95 ,0.02,71,66
French Polynesia,Oceania,12/1/2003,0,0,0,76,71
Guam,Oceania,12/1/2003,0,0,0,79,74
Kiribati,Oceania,12/1/2003,9.60%,$103 ,0.051,69,63
Marshall Islands,Oceania,12/1/2003,17.30%,$411 ,0.033,0,0
"Micronesia, Fed. Sts.",Oceania,12/1/2003,9.50%,$218 ,0.039,68,67
New Caledonia,Oceania,12/1/2003,0,0,0,79,72
New Zealand,Oceania,12/1/2003,7.90%,"$1,602 ",0.006,81,77
Papua New Guinea,Oceania,12/1/2003,4.10%,$25 ,0.057,62,58
Samoa,Oceania,12/1/2003,5.10%,$93 ,0.017,74,67
Solomon Islands,Oceania,12/1/2003,6.00%,$45 ,0.029,66,63
Tonga,Oceania,12/1/2003,5.10%,$106 ,0.014,74,69
Vanuatu,Oceania,12/1/2003,3.70%,$58 ,0.018,71,67
Antigua and Barbuda,The Americas,12/1/2003,4.40%,$457 ,0.012,77,72
Argentina,The Americas,12/1/2003,8.20%,$280 ,0.017,78,71
Aruba,The Americas,12/1/2003,0,0,0,76,72
"Bahamas, The",The Americas,12/1/2003,5.60%,"$1,237 ",0.013,76,70
Barbados,The Americas,12/1/2003,7.10%,$702 ,0.015,76,71
Belize,The Americas,12/1/2003,4.50%,$174 ,0.019,75,68
Bermuda,The Americas,12/1/2003,0,0,0,81,76
Bolivia,The Americas,12/1/2003,5.60%,$50 ,0.049,66,62
Brazil,The Americas,12/1/2003,7.00%,$214 ,0.024,75,67
Canada,The Americas,12/1/2003,9.80%,"$2,680 ",0.005,82,77
Cayman Islands,The Americas,12/1/2003,0,0,0,0,0
